latitude,longitude,extent,timestamp,traffic_police_station,day_of_week,hour_of_day,junction_name,1km_grid_id,anomaly
17.4728318,78.387634,580,2024-05-15 10:02:00,Madhapur,Wednesday,10,,833,1
17.4728318,78.387634,762,2024-05-15 09:46:59,Madhapur,Wednesday,9,KPHB7THPHASE,833,1
17.4728318,78.387634,362,2024-05-15 09:32:00,Madhapur,Wednesday,9,KPHB7THPHASE,833,1
17.4634039,78.385392,580,2024-05-15 09:16:59,Madhapur,Wednesday,9,,834,1
17.4529461,78.3822943,544,2024-05-10 18:32:01,Madhapur,Friday,18,SHILPARAMAM,835,1
17.4628144,78.385241,580,2024-05-09 10:16:59,Madhapur,Thursday,10,,834,1
17.4728318,78.387634,762,2024-05-09 09:31:59,Madhapur,Thursday,9,KPHB7THPHASE,833,1
17.4628144,78.385241,580,2024-05-09 09:01:59,Madhapur,Thursday,9,,834,1
17.4598148,78.3847901,1636,2024-05-08 11:31:59,Madhapur,Wednesday,11,,834,1
17.4634039,78.385392,400,2024-05-08 11:17:02,Madhapur,Wednesday,11,,833,1
17.4375345,78.364987,1672,2024-05-08 10:16:59,Madhapur,Wednesday,10,,694,1
17.4634039,78.385392,1380,2024-05-08 10:16:59,Madhapur,Wednesday,10,,834,1
17.4634039,78.385392,800,2024-05-08 10:02:14,Madhapur,Wednesday,10,,834,1
17.4605834,78.3849541,2254,2024-05-08 08:46:59,Madhapur,Wednesday,8,,834,1
17.4571713,78.3842497,1418,2024-05-08 08:31:59,Madhapur,Wednesday,8,,835,1
17.4373222,78.3749908,1890,2024-05-07 21:46:59,Madhapur,Tuesday,21,,789,1
17.4467116,78.3777635,1490,2024-05-07 21:32:00,Madhapur,Tuesday,21,,788,1
17.4487771,78.3791442,1926,2024-05-07 21:16:59,Madhapur,Tuesday,21,CYBERTOWER,788,1
17.4487771,78.3791442,1890,2024-05-07 21:01:59,Madhapur,Tuesday,21,CYBERTOWER,788,1
17.4412655,78.3887675,1526,2024-05-07 21:01:59,Madhapur,Tuesday,21,,837,1
17.4412655,78.3887675,1526,2024-05-07 21:01:59,Madhapur,Tuesday,21,,837,1
17.4578445,78.3717154,1418,2024-05-07 21:01:59,Madhapur,Tuesday,21,BARISTA,738,1
17.4375345,78.364987,1562,2024-05-07 20:46:59,Madhapur,Tuesday,20,,694,1
17.4376719,78.3752244,2108,2024-05-07 20:46:59,Madhapur,Tuesday,20,,789,1
17.4582528,78.3693019,1490,2024-05-07 20:46:59,Madhapur,Tuesday,20,BARISTA,739,1
17.4487771,78.3791442,1454,2024-05-07 20:46:59,Madhapur,Tuesday,20,CYBERTOWER,788,1
17.4412655,78.3887675,1418,2024-05-07 20:46:59,Madhapur,Tuesday,20,,837,1
17.4412655,78.3887675,1418,2024-05-07 20:46:59,Madhapur,Tuesday,20,,837,1
17.4419224,78.37724,2980,2024-05-07 20:31:59,Madhapur,Tuesday,20,,788,1
17.4421954,78.3771355,3126,2024-05-07 20:31:59,Madhapur,Tuesday,20,,788,1
17.4375345,78.364987,1490,2024-05-07 20:16:59,Madhapur,Tuesday,20,,694,1
17.4436399,78.3772007,3454,2024-05-07 20:16:59,Madhapur,Tuesday,20,,788,1
17.4487771,78.3791442,2654,2024-05-07 20:02:01,Madhapur,Tuesday,20,CYBERTOWER,788,1
17.4375345,78.364987,1780,2024-05-07 20:02:01,Madhapur,Tuesday,20,,694,1
17.438192,78.3757939,2144,2024-05-07 20:02:01,Madhapur,Tuesday,20,,789,1
17.4436399,78.3772007,3272,2024-05-07 19:46:59,Madhapur,Tuesday,19,,788,1
17.4504204,78.3794875,1526,2024-05-07 19:46:59,Madhapur,Tuesday,19,CYBERTOWER,787,1
17.4728318,78.387634,254,2024-05-07 19:46:59,Madhapur,Tuesday,19,KPHB7THPHASE,833,1
17.4414179,78.3772528,2872,2024-05-07 19:31:59,Madhapur,Tuesday,19,,788,1
17.4375345,78.364987,1562,2024-05-07 19:31:59,Madhapur,Tuesday,19,,694,1
17.4352175,78.3745505,1308,2024-05-07 19:31:59,Madhapur,Tuesday,19,,789,1
17.4542563,78.3789334,1454,2024-05-07 19:31:59,Madhapur,Tuesday,19,SHILPARAMAM,787,1
17.4728318,78.387634,254,2024-05-07 19:31:59,Madhapur,Tuesday,19,KPHB7THPHASE,833,1
17.4359185,78.3745148,1600,2024-05-07 19:17:00,Madhapur,Tuesday,19,,789,1
17.4728318,78.387634,254,2024-05-07 19:17:00,Madhapur,Tuesday,19,,785,1
17.4542563,78.3789334,1454,2024-05-07 19:17:00,Madhapur,Tuesday,19,SHILPARAMAM,787,1
17.4728318,78.387634,290,2024-05-07 19:17:00,Madhapur,Tuesday,19,,785,1
17.4728318,78.387634,254,2024-05-07 19:17:00,Madhapur,Tuesday,19,KPHB7THPHASE,833,1
17.4421954,78.3771355,1562,2024-05-07 19:02:00,Madhapur,Tuesday,19,,788,1
17.4504204,78.3794875,1526,2024-05-07 19:02:00,Madhapur,Tuesday,19,CYBERTOWER,787,1
17.438192,78.3757939,2290,2024-05-07 18:46:59,Madhapur,Tuesday,18,,789,1
17.438192,78.3757939,1272,2024-05-07 18:46:59,Madhapur,Tuesday,18,,789,1
17.4436399,78.3772007,3054,2024-05-07 18:16:59,Madhapur,Tuesday,18,,788,1
17.4412655,78.3887675,1854,2024-05-07 18:16:59,Madhapur,Tuesday,18,,837,1
17.438192,78.3757939,1818,2024-05-07 18:02:32,Madhapur,Tuesday,18,,789,1
17.4412655,78.3887675,1926,2024-05-07 18:02:32,Madhapur,Tuesday,18,,837,1
17.4412655,78.3887675,1926,2024-05-07 18:02:32,Madhapur,Tuesday,18,,837,1
17.4443227,78.3770984,2508,2024-05-07 17:46:59,Madhapur,Tuesday,17,,788,1
17.4412655,78.3887675,1672,2024-05-07 17:46:59,Madhapur,Tuesday,17,,837,1
17.438192,78.3757939,1818,2024-05-07 17:32:00,Madhapur,Tuesday,17,,789,1
17.4467116,78.3777635,2108,2024-05-07 17:16:59,Madhapur,Tuesday,17,,788,1
17.4634039,78.385392,980,2024-05-07 14:02:01,Madhapur,Tuesday,14,,834,1
17.4628144,78.385241,1018,2024-05-07 11:46:59,Madhapur,Tuesday,11,,834,1
17.4634039,78.385392,1200,2024-05-07 11:01:59,Madhapur,Tuesday,11,,834,1
17.4634039,78.385392,1200,2024-05-07 09:46:59,Madhapur,Tuesday,9,,833,1
17.4728318,78.387634,508,2024-05-06 21:16:59,Madhapur,Monday,21,,833,1
17.4728318,78.387634,254,2024-05-06 21:16:59,Madhapur,Monday,21,KPHB7THPHASE,833,1
17.4728318,78.387634,326,2024-05-06 21:01:59,Madhapur,Monday,21,KPHB7THPHASE,785,1
17.4728318,78.387634,580,2024-05-06 20:46:59,Madhapur,Monday,20,KPHB7THPHASE,785,1
17.4435173,78.377109,1236,2024-05-06 20:31:59,Madhapur,Monday,20,,788,1
17.4728318,78.387634,362,2024-05-06 20:16:59,Madhapur,Monday,20,,785,1
17.4728318,78.387634,362,2024-05-06 20:02:00,Madhapur,Monday,20,,785,1
17.441434,78.3771449,1018,2024-05-06 20:02:00,Madhapur,Monday,20,,788,1
17.4409675,78.3927004,1054,2024-05-06 19:32:00,Madhapur,Monday,19,,884,1
17.4409675,78.3927004,1236,2024-05-06 19:16:59,Madhapur,Monday,19,,884,1
17.4409675,78.3927004,1236,2024-05-06 19:16:59,Madhapur,Monday,19,,884,1
17.4728318,78.387634,254,2024-05-06 19:16:59,Madhapur,Monday,19,KPHB7THPHASE,833,1
17.4431393,78.3771179,1380,2024-05-06 19:02:00,Madhapur,Monday,19,,788,1
17.4409675,78.3927004,1054,2024-05-06 19:02:00,Madhapur,Monday,19,,884,1
17.4634039,78.385392,544,2024-05-06 18:32:00,Madhapur,Monday,18,,834,1
17.4728318,78.387634,508,2024-05-06 18:32:00,Madhapur,Monday,18,KPHB7THPHASE,833,1
17.4634039,78.385392,400,2024-05-06 17:01:59,Madhapur,Monday,17,,834,1
17.4634039,78.385392,1200,2024-05-06 11:32:12,Madhapur,Monday,11,,834,1
17.4628144,78.385241,580,2024-05-06 10:47:00,Madhapur,Monday,10,,834,1
17.4634039,78.385392,800,2024-05-06 10:16:59,Madhapur,Monday,10,,834,1
17.4628144,78.385241,580,2024-05-06 09:46:59,Madhapur,Monday,9,,834,1
17.4628144,78.385241,580,2024-05-06 09:01:59,Madhapur,Monday,9,,834,1
17.4380822,78.3759464,254,2024-05-05 20:02:01,Madhapur,Sunday,20,,789,1
17.4380822,78.3759464,290,2024-05-05 19:46:59,Madhapur,Sunday,19,,789,1
17.4380822,78.3759464,254,2024-05-05 19:31:59,Madhapur,Sunday,19,,789,1
17.4555086,78.3641904,436,2024-05-05 19:02:00,Madhapur,Sunday,19,,739,1
17.4248306,78.3793936,254,2024-05-05 00:17:00,Madhapur,Sunday,0,,838,1
17.4728318,78.387634,254,2024-05-04 19:31:59,Madhapur,Saturday,19,KPHB7THPHASE,833,1
17.4409675,78.3927004,1054,2024-05-03 21:01:59,Madhapur,Friday,21,,884,1
17.4409675,78.3927004,1236,2024-05-03 20:46:59,Madhapur,Friday,20,,884,1
17.4409675,78.3927004,1236,2024-05-03 20:46:59,Madhapur,Friday,20,,884,1
17.4529461,78.3822943,618,2024-05-03 20:46:59,Madhapur,Friday,20,CYBERTOWER,835,1
17.4409675,78.3927004,1236,2024-05-03 20:17:00,Madhapur,Friday,20,,884,1
17.4409675,78.3927004,1236,2024-05-03 20:17:00,Madhapur,Friday,20,,884,1
17.4409675,78.3927004,1054,2024-05-03 19:46:59,Madhapur,Friday,19,,884,1
17.4409675,78.3927004,1236,2024-05-03 19:32:00,Madhapur,Friday,19,,884,1
17.4409675,78.3927004,1236,2024-05-03 19:32:00,Madhapur,Friday,19,,884,1
17.4409675,78.3927004,1054,2024-05-03 19:16:59,Madhapur,Friday,19,,884,1
17.4409675,78.3927004,1054,2024-05-03 19:02:00,Madhapur,Friday,19,,884,1
17.4634039,78.385392,580,2024-05-03 09:31:59,Madhapur,Friday,9,,834,1
17.4728318,78.387634,362,2024-05-03 09:16:59,Madhapur,Friday,9,KPHB7THPHASE,833,1
17.4634039,78.385392,580,2024-05-03 09:02:00,Madhapur,Friday,9,,834,1
17.4728318,78.387634,1490,2024-05-02 16:01:59,Madhapur,Thursday,16,KPHB7THPHASE,833,1
17.4634039,78.385392,800,2024-05-02 10:46:59,Madhapur,Thursday,10,,834,1
17.4634039,78.385392,618,2024-05-02 10:16:59,Madhapur,Thursday,10,,834,1
17.4634039,78.385392,1418,2024-05-02 09:46:59,Madhapur,Thursday,9,,834,1
17.4728318,78.387634,1090,2024-04-30 19:02:00,Madhapur,Tuesday,19,KPHB7THPHASE,833,1
17.4384714,78.3637331,1454,2024-04-30 11:01:59,Madhapur,Tuesday,11,,694,1
17.4634039,78.385392,800,2024-04-30 09:32:00,Madhapur,Tuesday,9,,834,1
17.4628144,78.385241,580,2024-04-30 09:17:00,Madhapur,Tuesday,9,,834,1
17.4728318,78.387634,362,2024-04-29 11:02:01,Madhapur,Monday,11,KPHB7THPHASE,833,1
17.4634039,78.385392,618,2024-04-29 10:46:59,Madhapur,Monday,10,,834,1
17.4728318,78.387634,362,2024-04-29 09:46:59,Madhapur,Monday,9,,785,1
17.4728318,78.387634,254,2024-04-29 09:31:59,Madhapur,Monday,9,,785,1
17.4728318,78.387634,654,2024-04-29 09:16:59,Madhapur,Monday,9,KPHB7THPHASE,785,1
17.4728318,78.387634,290,2024-04-29 09:16:59,Madhapur,Monday,9,KPHB7THPHASE,785,1
17.4728318,78.387634,544,2024-04-29 09:01:59,Madhapur,Monday,9,KPHB7THPHASE,785,1
17.4728318,78.387634,580,2024-04-29 09:01:59,Madhapur,Monday,9,,833,1
17.4728318,78.387634,544,2024-04-29 08:46:59,Madhapur,Monday,8,KPHB7THPHASE,785,1
17.4728318,78.387634,362,2024-04-29 08:32:00,Madhapur,Monday,8,KPHB7THPHASE,833,1
17.4380822,78.3759464,290,2024-04-28 20:02:00,Madhapur,Sunday,20,,789,1
17.4380822,78.3759464,254,2024-04-28 19:46:59,Madhapur,Sunday,19,,789,1
17.4380822,78.3759464,254,2024-04-28 19:32:00,Madhapur,Sunday,19,,789,1
17.4380822,78.3759464,254,2024-04-28 18:31:59,Madhapur,Sunday,18,,837,1
17.4628144,78.385241,326,2024-04-26 21:46:59,Madhapur,Friday,21,,834,1
17.438192,78.3757939,1200,2024-04-26 20:32:00,Madhapur,Friday,20,,788,1
17.4634039,78.385392,618,2024-04-25 11:00:54,Madhapur,Thursday,11,,834,1
17.4628144,78.385241,580,2024-04-25 10:45:42,Madhapur,Thursday,10,,834,1
17.4634039,78.385392,1380,2024-04-25 10:15:36,Madhapur,Thursday,10,,834,1
17.4467116,78.3777635,1854,2024-04-24 18:45:07,Madhapur,Wednesday,18,,788,1
17.4634039,78.385392,1418,2024-04-24 11:30:09,Madhapur,Wednesday,11,,834,1
17.4634039,78.385392,800,2024-04-24 11:15:07,Madhapur,Wednesday,11,,834,1
17.4634039,78.385392,800,2024-04-24 10:45:07,Madhapur,Wednesday,10,,833,1
17.4634039,78.385392,800,2024-04-24 10:00:10,Madhapur,Wednesday,10,,834,1
17.4634039,78.385392,400,2024-04-24 09:45:08,Madhapur,Wednesday,9,,833,1
17.4634039,78.385392,800,2024-04-24 09:15:07,Madhapur,Wednesday,9,,834,1
17.4634039,78.385392,400,2024-04-24 09:00:07,Madhapur,Wednesday,9,,834,1
17.4634039,78.385392,800,2024-04-24 08:45:07,Madhapur,Wednesday,8,,834,1
17.4634039,78.385392,580,2024-04-23 10:30:11,Madhapur,Tuesday,10,,834,1
17.4728318,78.387634,800,2024-04-23 09:30:10,Madhapur,Tuesday,9,KPHB7THPHASE,833,1
17.4628144,78.385241,580,2024-04-23 09:15:07,Madhapur,Tuesday,9,,834,1
17.4728318,78.387634,1308,2024-04-22 20:30:11,Madhapur,Monday,20,,833,1
17.4536303,78.379383,1126,2024-04-22 20:00:12,Madhapur,Monday,20,SHILPARAMAM,787,1
17.4634039,78.385392,544,2024-04-22 19:45:07,Madhapur,Monday,19,,834,1
17.4628144,78.385241,1018,2024-04-22 14:45:08,Madhapur,Monday,14,,834,1
17.4605834,78.3849541,1526,2024-04-22 14:30:10,Madhapur,Monday,14,,834,1
17.4634039,78.385392,618,2024-04-22 11:00:12,Madhapur,Monday,11,,834,1
17.4634039,78.385392,400,2024-04-22 10:45:07,Madhapur,Monday,10,,834,1
17.4634039,78.385392,1890,2024-04-22 09:45:07,Madhapur,Monday,9,,834,1
17.4634039,78.385392,800,2024-04-22 09:15:07,Madhapur,Monday,9,,834,1
17.4634039,78.385392,800,2024-04-22 09:00:08,Madhapur,Monday,9,,834,1
17.4380822,78.3759464,436,2024-04-21 15:45:08,Madhapur,Sunday,15,,837,1
17.4380822,78.3759464,254,2024-04-21 12:45:08,Madhapur,Sunday,12,,789,1
17.4380822,78.3759464,254,2024-04-21 12:30:07,Madhapur,Sunday,12,,789,1
17.4297601,78.373796,472,2024-04-20 10:15:07,Madhapur,Saturday,10,NCB,790,1
17.4529461,78.3822943,544,2024-04-19 20:45:08,Madhapur,Friday,20,SHILPARAMAM,835,1
17.4431393,78.3771179,1380,2024-04-19 19:45:07,Madhapur,Friday,19,,788,1
17.4634039,78.385392,618,2024-04-19 19:15:07,Madhapur,Friday,19,,834,1
17.4542563,78.3789334,1454,2024-04-19 19:00:07,Madhapur,Friday,19,SHILPARAMAM,787,1
17.4628144,78.385241,1018,2024-04-19 11:30:11,Madhapur,Friday,11,,834,1
17.4516621,78.3809048,544,2024-04-19 11:15:07,Madhapur,Friday,11,CYBERTOWER,835,1
17.4516621,78.3809048,544,2024-04-19 11:00:10,Madhapur,Friday,11,CYBERTOWER,835,1
17.4728318,78.387634,980,2024-04-18 11:45:08,Madhapur,Thursday,11,,833,1
17.4628144,78.385241,1018,2024-04-18 11:30:10,Madhapur,Thursday,11,,834,1
17.4628144,78.385241,580,2024-04-18 10:45:07,Madhapur,Thursday,10,,834,1
17.4634039,78.385392,2000,2024-04-18 10:30:09,Madhapur,Thursday,10,,833,1
17.4634039,78.385392,800,2024-04-18 10:00:10,Madhapur,Thursday,10,,834,1
17.4634039,78.385392,400,2024-04-17 17:00:18,Madhapur,Wednesday,17,,834,1
17.4634039,78.385392,800,2024-04-16 12:45:07,Madhapur,Tuesday,12,,834,1
17.4634039,78.385392,580,2024-04-16 12:00:09,Madhapur,Tuesday,12,,834,1
17.4634039,78.385392,2436,2024-04-16 11:15:08,Madhapur,Tuesday,11,,834,1
17.4634039,78.385392,1890,2024-04-16 10:45:07,Madhapur,Tuesday,10,,834,1
17.4634039,78.385392,580,2024-04-16 10:15:07,Madhapur,Tuesday,10,,834,1
17.4634039,78.385392,800,2024-04-16 09:45:07,Madhapur,Tuesday,9,,834,1
17.441434,78.3771449,1018,2024-04-15 19:00:09,Madhapur,Monday,19,,788,1
17.4634039,78.385392,400,2024-04-15 12:00:14,Madhapur,Monday,12,,834,1
17.4634039,78.385392,400,2024-04-15 11:30:07,Madhapur,Monday,11,,834,1
17.4634039,78.385392,1418,2024-04-15 11:15:19,Madhapur,Monday,11,,834,1
17.4728318,78.387634,800,2024-04-15 10:15:07,Madhapur,Monday,10,KPHB7THPHASE,833,1
17.4728318,78.387634,254,2024-04-15 10:15:07,Madhapur,Monday,10,,785,1
17.4634039,78.385392,400,2024-04-15 09:45:07,Madhapur,Monday,9,,834,1
17.4634039,78.385392,400,2024-04-15 09:00:15,Madhapur,Monday,9,,834,1
17.4628144,78.385241,326,2024-04-14 13:00:10,Madhapur,Sunday,13,,834,1
17.4634039,78.385392,618,2024-04-13 19:45:08,Madhapur,Saturday,19,,833,1
17.4584256,78.3845155,1744,2024-04-12 19:45:07,Madhapur,Friday,19,,834,1
17.4529461,78.3822943,544,2024-04-12 19:15:07,Madhapur,Friday,19,SHILPARAMAM,835,1
17.4634039,78.385392,400,2024-04-12 19:15:07,Madhapur,Friday,19,,834,1
17.4529461,78.3822943,544,2024-04-12 18:00:13,Madhapur,Friday,18,SHILPARAMAM,835,1
17.4487771,78.3791442,1454,2024-04-10 19:30:07,Madhapur,Wednesday,19,CYBERTOWER,788,1
17.4634039,78.385392,400,2024-04-10 09:45:08,Madhapur,Wednesday,9,,833,1
17.4375345,78.364987,1418,2024-04-08 11:30:17,Madhapur,Monday,11,,694,1
17.4375345,78.364987,1454,2024-04-08 11:15:09,Madhapur,Monday,11,,694,1
17.4384714,78.3637331,1344,2024-04-08 11:00:11,Madhapur,Monday,11,,693,1
17.4634039,78.385392,580,2024-04-08 09:15:08,Madhapur,Monday,9,,834,1
17.4487771,78.3791442,1200,2024-04-05 19:15:12,Madhapur,Friday,19,CYBERTOWER,788,1
17.4634039,78.385392,400,2024-04-05 10:30:10,Madhapur,Friday,10,,834,1
17.4628144,78.385241,580,2024-04-05 10:00:15,Madhapur,Friday,10,,834,1
17.4634039,78.385392,800,2024-04-05 09:45:07,Madhapur,Friday,9,,834,1
17.4501432,78.3793901,1200,2024-04-04 19:30:13,Madhapur,Thursday,19,CYBERTOWER,787,1
17.4728318,78.387634,580,2024-04-04 12:00:15,Madhapur,Thursday,12,,833,1
17.4634039,78.385392,800,2024-04-04 11:00:47,Madhapur,Thursday,11,,834,1
17.4628144,78.385241,580,2024-04-04 10:45:23,Madhapur,Thursday,10,,834,1
17.4634039,78.385392,618,2024-04-04 10:30:15,Madhapur,Thursday,10,,834,1
17.4634039,78.385392,1200,2024-04-04 10:15:07,Madhapur,Thursday,10,,834,1
17.4634039,78.385392,400,2024-04-03 21:45:09,Madhapur,Wednesday,21,,834,1
17.4628144,78.385241,580,2024-04-03 12:15:07,Madhapur,Wednesday,12,,834,1
17.4728318,78.387634,580,2024-04-03 12:00:22,Madhapur,Wednesday,12,,833,1
17.4728318,78.387634,400,2024-04-03 11:45:09,Madhapur,Wednesday,11,KPHB7THPHASE,833,1
17.4634039,78.385392,800,2024-04-03 10:00:12,Madhapur,Wednesday,10,,834,1
17.4634039,78.385392,800,2024-04-03 09:45:07,Madhapur,Wednesday,9,,834,1
17.4634039,78.385392,400,2024-04-03 09:30:07,Madhapur,Wednesday,9,,833,1
17.4634039,78.385392,800,2024-04-02 11:46:00,Madhapur,Tuesday,11,,834,1
17.4628144,78.385241,580,2024-04-02 11:30:35,Madhapur,Tuesday,11,,834,1
17.4634039,78.385392,580,2024-04-02 11:15:47,Madhapur,Tuesday,11,,834,1
17.4634039,78.385392,800,2024-04-02 11:00:21,Madhapur,Tuesday,11,,834,1
17.4628144,78.385241,1018,2024-04-02 10:00:11,Madhapur,Tuesday,10,,834,1
17.4634039,78.385392,800,2024-04-02 09:45:07,Madhapur,Tuesday,9,,834,1
17.4728318,78.387634,290,2024-04-01 20:15:07,Madhapur,Monday,20,KPHB7THPHASE,833,1
17.4728318,78.387634,362,2024-04-01 20:15:07,Madhapur,Monday,20,KPHB7THPHASE,833,1
17.4728318,78.387634,508,2024-04-01 20:00:18,Madhapur,Monday,20,KPHB7THPHASE,833,1
17.4728318,78.387634,544,2024-04-01 20:00:18,Madhapur,Monday,20,KPHB7THPHASE,785,1
17.4728318,78.387634,362,2024-04-01 19:45:09,Madhapur,Monday,19,KPHB7THPHASE,833,1
17.4728318,78.387634,254,2024-04-01 19:31:10,Madhapur,Monday,19,KPHB7THPHASE,833,1
17.4435173,78.377109,1236,2024-04-01 17:45:11,Madhapur,Monday,17,,788,1
17.4537118,78.3793356,1126,2024-04-01 17:45:11,Madhapur,Monday,17,SHILPARAMAM,787,1
17.4537118,78.3793356,1126,2024-04-01 17:45:11,Madhapur,Monday,17,SHILPARAMAM,787,1
17.4628144,78.385241,326,2024-04-01 17:45:11,Madhapur,Monday,17,,834,1
17.4628144,78.385241,326,2024-04-01 17:30:20,Madhapur,Monday,17,,834,1
17.4628144,78.385241,580,2024-04-01 10:45:08,Madhapur,Monday,10,,834,1
17.4628144,78.385241,580,2024-04-01 10:30:14,Madhapur,Monday,10,,834,1
17.4634039,78.385392,400,2024-04-01 10:15:07,Madhapur,Monday,10,,834,1
17.4728318,78.387634,580,2024-04-01 10:00:13,Madhapur,Monday,10,,833,1
17.4728318,78.387634,580,2024-04-01 09:45:07,Madhapur,Monday,9,,833,1
17.4728318,78.387634,980,2024-04-01 09:15:07,Madhapur,Monday,9,,833,1
17.4634039,78.385392,400,2024-03-30 20:00:08,Madhapur,Saturday,20,,833,1
17.4634039,78.385392,800,2024-03-28 10:45:07,Madhapur,Thursday,10,,834,1
17.4634039,78.385392,800,2024-03-28 10:30:10,Madhapur,Thursday,10,,834,1
17.4628144,78.385241,1018,2024-03-28 10:00:12,Madhapur,Thursday,10,,834,1
17.4634039,78.385392,800,2024-03-28 09:30:10,Madhapur,Thursday,9,,834,1
17.4634039,78.385392,800,2024-03-27 11:00:44,Madhapur,Wednesday,11,,834,1
17.4634039,78.385392,400,2024-03-27 10:30:14,Madhapur,Wednesday,10,,834,1
17.4634039,78.385392,1380,2024-03-27 10:15:07,Madhapur,Wednesday,10,,834,1
17.4634039,78.385392,1380,2024-03-27 10:00:11,Madhapur,Wednesday,10,,834,1
17.4634039,78.385392,1600,2024-03-27 09:45:09,Madhapur,Wednesday,9,,834,1
17.4634039,78.385392,1200,2024-03-27 09:30:12,Madhapur,Wednesday,9,,834,1
17.4634039,78.385392,400,2024-03-27 09:15:07,Madhapur,Wednesday,9,,833,1
17.4728318,78.387634,580,2024-03-27 09:00:13,Madhapur,Wednesday,9,,833,1
17.4728318,78.387634,254,2024-03-26 12:00:20,Madhapur,Tuesday,12,KPHB7THPHASE,833,1
17.4728318,78.387634,290,2024-03-26 11:45:13,Madhapur,Tuesday,11,KPHB7THPHASE,833,1
17.4628144,78.385241,326,2024-03-25 16:45:07,Madhapur,Monday,16,,834,1
17.4628144,78.385241,580,2024-03-25 14:15:12,Madhapur,Monday,14,,834,1
17.4634039,78.385392,1200,2024-03-25 14:00:11,Madhapur,Monday,14,,834,1
17.4628144,78.385241,1018,2024-03-25 13:45:09,Madhapur,Monday,13,,834,1
17.4634039,78.385392,1200,2024-03-25 13:30:27,Madhapur,Monday,13,,834,1
17.4634039,78.385392,1200,2024-03-25 13:15:09,Madhapur,Monday,13,,834,1
17.4634039,78.385392,1418,2024-03-25 13:00:10,Madhapur,Monday,13,,834,1
17.4634039,78.385392,1200,2024-03-25 12:45:07,Madhapur,Monday,12,,834,1
17.4628144,78.385241,1018,2024-03-25 12:00:19,Madhapur,Monday,12,,834,1
17.4634039,78.385392,800,2024-03-25 11:30:46,Madhapur,Monday,11,,833,1
17.4634039,78.385392,980,2024-03-25 11:15:08,Madhapur,Monday,11,,834,1
17.4634039,78.385392,800,2024-03-25 11:00:28,Madhapur,Monday,11,,834,1
17.4634039,78.385392,980,2024-03-25 10:45:10,Madhapur,Monday,10,,834,1
